sha256,canonical_path,first_repo,first_branch,first_seen_commit
a7b5780962cb3bc787c21742dcd85d0df4f0554da5bcae42f957da887b66e43e,Python\GoogleAntiGraviryProjets\docs\ImpactAnalyzer\README.md,Python,GoogleAntiGraviryProjets,
1bf0de9dddfda325017e8dd070296389c0c38e5257b73d7c927fff3418ea9af7,Python\GoogleAntiGraviryProjets\modules\python\ImpactAnalyzer\collectors\__init__.py,Python,GoogleAntiGraviryProjets,
c9b460cc4687ab48070607f8c2b30ac92177257a2df5fa19ae0c697398cb1784,Python\GoogleAntiGraviryProjets\modules\python\ImpactAnalyzer\collectors\browser_collector.py,Python,GoogleAntiGraviryProjets,
45f0d52014c650741e6018072e075111beedd607f7909b538bf14a30b714634a,Python\GoogleAntiGraviryProjets\modules\python\ImpactAnalyzer\collectors\db_analyzer.py,Python,GoogleAntiGraviryProjets,
c13e094df25c732fb967f0d02e17e5764aa051025b8331eece248b8eb2ae0c9c,Python\GoogleAntiGraviryProjets\modules\python\ImpactAnalyzer\collectors\log_collector.py,Python,GoogleAntiGraviryProjets,
36afd3ab69600a7d730f5a762d3a0c300b64b9250a12c7bef53b1eb5f9fae600,Python\GoogleAntiGraviryProjets\modules\js-ts\ImpactAnalyzer\config.json,Python,GoogleAntiGraviryProjets,
3995e89ebc46702c6b280808a696dcd5a691e732d4aa8b48cee60e40fc7c00dd,Python\GoogleAntiGraviryProjets\modules\python\ImpactAnalyzer\main.py,Python,GoogleAntiGraviryProjets,
4ea4c41299e18da6e839cff673a024d76a897b3a87f2f590c48f3eda38d04939,Python\GoogleAntiGraviryProjets\docs\ImpactAnalyzer\requirements.txt,Python,GoogleAntiGraviryProjets,
f42731eeb7e8ccd4eaaf96a1082d437c001f39077895444e7c8bec2578dc2172,Python\GoogleAntiGraviryProjets\apps\Important URL.docx,Python,GoogleAntiGraviryProjets,
a46003a7fa3f4039941fca7786f74e6685befb79e46d573f5e4530f662506060,Python\GoogleAntiGraviryProjets\apps\JBoss7-8-Comparision.docx,Python,GoogleAntiGraviryProjets,
cb986463f2002a4f7e0bfc2d90cc6aa636f3fcc8f083c849a747bf78ed274d3b,Python\GoogleAntiGraviryProjets\apps\JBoss7-8-config-migration.docx,Python,GoogleAntiGraviryProjets,
e188e7513906dbc4f5d18678f05670ba161ac773d508f530cdc6ad19b9a3b5e9,Python\GoogleAntiGraviryProjets\apps\Java-Projects.zip,Python,GoogleAntiGraviryProjets,
a4378e51fc5ab41d806c23c4a82d71c1403741dc688a748292bcef03c29cb8a0,Python\GoogleAntiGraviryProjets\modules\python\Java-Projects\Spring_Project\Spring-Api-project.py,Python,GoogleAntiGraviryProjets,
250aed3dec51366fb1c7c92e8b840b4437244ceb29edb9e07e9c2fbaa273b0cb,Python\GoogleAntiGraviryProjets\apps\Java-Projects\Spring_Project\config.ini,Python,GoogleAntiGraviryProjets,
3aa38c73000673a1cbc94be3b4a93c74d9faf0879250a86d37a533890e37ef5d,Python\GoogleAntiGraviryProjets\modules\python\Java-Projects\Spring_Project\generate_projects.py,Python,GoogleAntiGraviryProjets,
77accdc7c91edf92d2f043ad1ef3292d9981d448d603225aae73ae0fe3e6e47d,Python\GoogleAntiGraviryProjets\modules\python\Java-Projects\Spring_Project\generate_projects_v1.py,Python,GoogleAntiGraviryProjets,
6fc8ae10de377f0440b630d9632a4f7285b5cf391266cd69525d60c8d1b0bb15,Python\GoogleAntiGraviryProjets\modules\python\Java-Projects\Spring_Project\generate_projects_v2.py,Python,GoogleAntiGraviryProjets,
c26571c0891f582afbfdbfeb710452bc684c30a759610d4940e40533aaa51ad0,Python\GoogleAntiGraviryProjets\modules\python\Java-Projects\Spring_Project\generate_projects_v3.py,Python,GoogleAntiGraviryProjets,
f2306e4974b9bb6b66cedfce3eb5ae2356ba0e2200d17f455d9cb40bf2d53e0d,Python\GoogleAntiGraviryProjets\modules\python\Java-Projects\Spring_Project\swagger-support-project.py,Python,GoogleAntiGraviryProjets,
578a2b16a61318afdf197d71f02edadb45f3e8e0ddd9935cf6cf75ed4316d0ac,Python\GoogleAntiGraviryProjets\apps\Java-Projects\config.ini,Python,GoogleAntiGraviryProjets,
5c063ad60f9ddaf3e6087f3b2808f613772f99cfea3eb44444767b1c5f66fb2e,Python\GoogleAntiGraviryProjets\modules\python\Java-Projects\generate_projects.py,Python,GoogleAntiGraviryProjets,
b1e62683f35563b8d93434f711db967e7911f9918895dc075f8d5529a2bf2abc,Python\GoogleAntiGraviryProjets\modules\python\LogAnalysys\analyzeLog.py,Python,GoogleAntiGraviryProjets,
4a3f1d161e8af5b2eccc5520ef2d67e6da228bf51260bc95b0b9961def281fe4,Python\GoogleAntiGraviryProjets\apps\LogAnalysys\config.ini,Python,GoogleAntiGraviryProjets,
68ea0b518b4d9f52553b53b94389e81352bdcba45fd5e36dc534d42ec0130459,Python\GoogleAntiGraviryProjets\modules\python\LogAnalysys\workflow\main.py,Python,GoogleAntiGraviryProjets,
6a9620798863ef8a62c06d3ce7bd59f6a1b1a96481cb4f4c584777e6935459fe,Python\GoogleAntiGraviryProjets\modules\python\LogAnalysys\workflow\nodes.py,Python,GoogleAntiGraviryProjets,
4b333ab7283b3832947910af0e970bb8b92ddc7ae3f0627f0820d1da5f9658aa,Python\GoogleAntiGraviryProjets\modules\python\LogAnalysys\workflow\workflow_engine.py,Python,GoogleAntiGraviryProjets,
5409ed2dcfd47a812d7701fa78b2c21e7785bcb5f1e54e5f603fc5c6ce7453be,Python\GoogleAntiGraviryProjets\modules\python\ML\portfolioAnalysis.py,Python,GoogleAntiGraviryProjets,
e2b9f1b50d9238d4a5357ece76d55eb19b3fb21678ceeebbddb7454a688006a9,Python\GoogleAntiGraviryProjets\apps\Maven-Archetype-Local\config.ini,Python,GoogleAntiGraviryProjets,
e3ba26cecf0f3ed7f1a5b2822f395f43136b2a350d2792626a2f9827e20f478d,Python\GoogleAntiGraviryProjets\modules\python\Maven-Archetype-Local\maven-arhetype-install.py,Python,GoogleAntiGraviryProjets,
49db4a0c95b0f9b5017cd2250912efa737b38ae88410c967714bdc48048b8b13,Python\GoogleAntiGraviryProjets\apps\Maven-archetype-install.docx,Python,GoogleAntiGraviryProjets,
6b8f83301ee2689180063ad77ab69b2c62191d0234dfde36295d8f9954ba2546,Python\GoogleAntiGraviryProjets\docs\OffLineInstallation\instructions.txt,Python,GoogleAntiGraviryProjets,
80ee57e24d7f537e6144bd39e61dd5b8c8ce33012265625cae60069510d003d0,Python\GoogleAntiGraviryProjets\modules\python\OffLineInstallation\offLineinstallation.py,Python,GoogleAntiGraviryProjets,
e2a42f7e63318153a8e971aa8fadff4117809e695e5a6e5e4915b668a021503c,Python\GoogleAntiGraviryProjets\docs\OffLineInstallation\requirement.txt,Python,GoogleAntiGraviryProjets,
fa393cdfb34f4b61c1bdfe8f064a333f3dd8fbe4386559216ae4f252988c6f65,Python\GoogleAntiGraviryProjets\modules\python\PDfMerger\mergeMultilePDF.py,Python,GoogleAntiGraviryProjets,
f965e96de87b9d71138531c7e44e173317eb4869b0fdb691fb06ab43b525d4fd,Python\GoogleAntiGraviryProjets\apps\Python,Python,GoogleAntiGraviryProjets,
ed5a40102feac438b6d7e4bfc30bca1c5a836df7a7bf4655a6f2f80002c92e99,Python\GoogleAntiGraviryProjets\modules\python\SingtelBills\sintelBill-pdf-excel.py,Python,GoogleAntiGraviryProjets,
